alias,canonical
D-glucose,glucose
d-glucose,glucose
Glucose,glucose
D-fructose,fructose
d-fructose,fructose
D-galactose,galactose
D-mannose,mannose
D-xylose,xylose
d-xylose,xylose
L-arabinose,arabinose
D-ribose,ribose
D-galacturonic acid,galacturonic acid
maltose,maltose
sucrose,sucrose
lactose,lactose
raffinose,raffinose
melibiose,melibiose
cellobiose,cellobiose
Cellulose,cellulose
cellulose,cellulose
starch,starch
Starch,starch
inulin,inulin
Inulin,inulin
pectin,pectin
Pectin,pectin
xylan,xylan
Xylan,xylan
chitin,chitin
Chitin,chitin
mannan,mannan
lignin,lignin
casein,casein
