entity_id,entity_key,kingdom,species,genus,activity,metabolite,confidence,evidence,observed,genome_accession,fasta_path
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,cellulose,0.9,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,xylan,0.9,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,starch,0.875,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,pectin,0.9,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,lactose,0.5,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,mannan,0.5,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,arabinose,0.75,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,glucose,0.75,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,fructose,0.5,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_aspergillus_niger_GCF_000002855.4,FG_aspergillus_niger_GCF_000002855.4 | aspergillus niger,fungi,aspergillus niger,aspergillus,utilization,maltose,0.5,protein annotation (predicted),False,GCF_000002855.4,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/aspergillus_niger/GCF_000002855.4/ncbi_dataset/data/GCF_000002855.4/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,cellulose,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,xylan,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,starch,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,chitin,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,pectin,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,lactose,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,sucrose,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,mannan,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
FG_neurospora_crassa_GCF_000182925.2,FG_neurospora_crassa_GCF_000182925.2 | neurospora crassa,fungi,neurospora crassa,neurospora,utilization,arabinose,0.9,protein annotation (predicted),False,GCF_000182925.2,/Users/sanskriti/Documents/GitHub/streamlit/data/genomes_fungi/neurospora_crassa/GCF_000182925.2/ncbi_dataset/data/GCF_000182925.2/protein.faa
